Library,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-1,2023-2,2023-3,2023-4,2023-5,2023-6,2023-7,2023-8,2023-9,2023-10,2023-11,2023-12,2024-1,2024-2,2024-3,2024-4
Blakelaw,1048,1017,1042,911,919,1037,1280,1020,644,895,829,984,768,793,1107,1011,967,801,1094,1017,425,745,912,894,873,943,882,1103,972,799,759,671,512,831,1058,868,778,729,637,689,927,1127,774,662,296,580,483,653,480,511,432,630,614,436,479,512,371,558,604,535,554,438,520,638,684,513,653,433,328,443,474,425,319,444,403,286,400,389,387,330,215,303,197,314,200,238,451,377,244,245,247,233,147,208,61,245,253,245,196,357,323,301,292,380,139,319,235,281,325,356,185,271,351,215,231,195,107,188,151,193,186,202,155,156,206,123,256,185,136,152,151,96,93,81,97,90,93,92,31,93,56,81,148,115,0,0,0,0,6,0,0,0,0,0,0,0,3,4,0,3,0,0,17,14,32,25,19,17,32,29,19,62,98,54,62,23,62,46,86,29,51,46,18,44,61,59,70,56,36,73,57,,
City,4490,4424,4606,5709,4555,4028,3716,3167,2989,5583,2910,3594,1819,1786,43772,56618,56341,52201,54330,44899,41417,47498,44914,51337,46706,41889,42342,48554,47413,45046,47212,37609,37543,39156,39265,40955,33268,37602,38218,38357,39910,35562,39191,32278,28948,34302,33526,34689,32151,32481,30228,32577,32563,29938,32242,28813,23820,30245,26657,27659,29635,31768,28154,33636,32621,27649,30096,26288,21563,27279,24654,26158,24088,24451,20426,22796,23461,21478,22948,19398,18172,21581,19400,20425,20125,15559,19809,20976,19365,19449,19246,17124,15250,18596,17885,17467,17682,16301,17180,17852,18975,16708,17315,14784,12436,16242,14867,15702,14303,13866,13818,15314,16443,14680,15348,13363,10883,14622,13561,16654,16017,15777,15340,16205,16815,14795,15678,13616,12868,15544,13670,14159,12875,12592,12119,13834,15428,12954,14096,12501,11230,13407,12957,9130,291,128,34,953,1904,1566,2840,1685,849,793,152,158,3532,3792,4864,5855,7226,6250,7463,8291,8207,8592,8441,9813,9936,9544,9023,10200,11832,10123,10421,9018,8848,10406,9897,10450,10352,10115,9563,11520,11840,9200,9698,8894,8636,9800,9246,,
Cruddas Park,1477,1457,1377,1697,1749,1522,1563,1498,909,1566,1352,1267,1517,1023,1281,1164,1085,1227,1111,1144,1119,1252,1191,1200,1218,841,1120,1145,1239,997,929,1232,682,1101,939,1240,931,999,1141,1033,1404,1217,1104,1151,958,1081,878,1149,954,930,990,1064,948,762,748,939,539,761,751,655,684,693,391,10,27,,5,0,0,,,,0,0,311,676,803,574,577,503,308,503,544,526,456,272,546,475,507,587,410,465,278,511,295,358,437,355,354,523,513,563,447,479,239,506,357,429,373,343,370,416,367,374,317,330,294,294,216,308,318,491,334,309,536,406,717,553,385,529,666,724,913,591,413,491,438,353,470,559,304,639,381,253,1,0,0,0,8,33,42,7,0,0,0,0,55,118,160,185,266,208,203,340,278,447,335,385,381,330,299,323,328,531,381,409,280,533,222,444,297,355,293,172,258,282,459,432,177,374,399,,
Denton Burn,4292,4276,3925,4544,5068,4366,4553,3729,2865,4018,3687,4121,4516,4166,4169,6117,5256,4463,4670,5240,3371,4782,3980,5861,4617,3522,4288,4544,4215,4826,4822,3385,3384,4955,6143,4805,3573,3825,3319,3235,3492,3208,3393,3248,2315,3076,2874,2962,2469,2631,2616,3098,3046,2617,2657,2565,1562,2296,2257,2390,2026,2205,1685,967,939,1015,963,889,770,1001,872,890,716,698,879,797,731,957,100,,,,,7,93,431,713,750,857,691,755,628,521,619,796,479,566,644,814,634,878,753,837,722,630,711,621,641,570,506,744,898,736,805,692,761,720,618,585,576,671,654,751,887,900,652,722,843,670,925,706,683,538,605,576,664,785,759,870,637,490,817,773,390,4,0,0,2,13,215,543,120,7,3,1,13,212,306,477,574,804,687,659,533,314,511,469,484,458,611,667,635,715,655,718,546,381,614,518,723,632,542,840,1004,943,751,719,636,486,604,697,,
Dinnington,952,1005,1038,933,1118,948,1146,991,616,1010,933,917,873,1073,1104,1170,974,991,1179,1064,944,1155,1080,1158,872,1161,1186,1309,900,1429,1503,1239,791,1424,1344,1299,1150,1037,1269,1262,1108,1168,1015,1165,905,1079,992,1131,788,1110,1474,1165,1033,1045,1098,1019,648,816,944,952,682,698,674,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East End,14443,13141,13661,13989,15210,13767,13182,11794,10131,12040,11371,12341,11795,11494,10268,10268,9411,9356,9936,8732,6505,8934,9117,9366,9551,8577,8923,9312,9786,8423,7310,8008,6484,8988,7876,9464,6891,9004,8233,8240,8447,7808,7585,6674,5317,7438,6981,7312,6688,7133,6622,7425,7579,6548,6997,6364,4954,6081,5385,5789,5564,6393,6069,7161,7079,6108,6736,6094,4448,5762,5362,5513,5061,4844,4602,4895,5699,5167,5122,4213,3495,4575,4161,4369,3796,2963,3566,4106,4264,4526,4283,3730,3088,4103,3750,3989,3807,727,1,874,1990,2301,2483,1881,1633,1952,2044,2203,1977,1765,2209,2427,2070,2105,2155,1851,1618,1804,1663,2248,1913,1634,1756,1938,1955,2055,2013,2154,1664,2209,1855,1713,1494,1414,93,50,48,62,429,935,836,1636,1108,848,20,2,0,1,4,498,19,0,40,9,0,0,365,1137,464,618,965,868,1034,1082,792,1104,953,1151,1090,1016,989,1248,1071,982,1162,923,725,993,958,869,928,648,750,921,822,1014,838,862,729,845,852,,
Fawdon,998,1300,1425,1199,1325,1745,1269,797,1122,1190,1133,1248,1307,1146,1183,1196,1111,1213,1363,1111,1009,1168,1030,1331,926,1081,1209,1163,819,1120,1134,1297,847,1079,996,1224,862,1014,1159,1018,952,717,665,590,499,655,632,676,780,672,521,554,552,481,549,425,351,572,413,426,334,461,377,634,475,487,398,326,201,342,255,229,247,155,222,214,245,273,242,243,131,193,164,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenham,11273,8564,8535,9464,9414,9527,9344,8222,8130,8844,7436,7559,7366,7555,6792,6135,5789,6003,7637,6249,4052,5753,5921,5627,5514,5131,5804,6730,6726,6320,5834,5460,375,0,18,3563,3445,4282,3895,4405,5167,4475,4350,3938,3069,4243,3948,4373,3934,3946,4055,4501,4227,3773,4054,3870,2798,3347,3276,3300,2287,3682,3877,3867,3542,2813,1134,16,46,0,22,2613,2777,2546,2502,2676,2708,2395,2391,2041,1729,2212,2074,2260,1968,1639,1861,2608,2480,2237,2124,1967,1477,2065,1986,1967,2152,1338,1500,1611,1886,1666,1564,1387,1280,1301,1441,1612,1386,1341,1412,1567,2229,1694,1313,1580,1112,1361,1363,1467,1532,1502,1581,1495,1712,764,176,218,196,293,342,338,1011,1268,1305,1643,1982,1340,1311,1310,940,1444,1431,962,10,5,0,10,31,272,584,151,50,29,11,8,364,490,856,966,1244,989,1114,967,1056,1157,1367,1264,1503,1396,1145,1765,2593,1377,1679,1415,959,1496,1632,1651,1895,1594,1469,2279,2900,2002,1891,1756,1507,1993,1960,,
Gosforth,21548,20575,20987,21823,23465,21263,21313,19264,15364,19692,17932,18988,18323,18318,17402,18827,18353,17519,17386,15811,12195,14429,15671,17029,15758,14877,15281,16613,16981,15755,15253,12976,10740,13674,13197,13704,11938,13046,12901,14014,14955,13354,14131,11812,10609,12588,12128,12978,12070,11520,10970,12727,12902,11240,12116,10213,7881,9093,9067,9388,9273,10704,9753,12130,12883,10116,10042,9495,7460,9522,9194,10220,8603,9029,8277,8750,10009,8853,9173,8185,6787,8439,8001,8871,7680,6239,8282,9504,9434,9084,8453,7792,5860,7580,7682,7282,7771,5430,4835,5808,6271,5400,5897,5677,4205,5381,5134,5637,4964,5299,4850,5195,6266,5405,5127,4823,3528,4972,4412,5426,4931,5553,4879,5190,6055,4979,5233,5049,4195,5070,4716,5087,4226,4979,4422,5119,5708,4423,5020,4788,3709,4574,4800,3260,67,6,0,32,171,321,2114,720,436,74,14,22,1707,2137,2752,3814,3097,3376,4021,3530,3286,4543,4268,4655,4801,4674,4340,5676,6234,4987,5488,5320,3620,4940,4567,4620,4864,4489,4393,5999,6422,5117,4762,4645,3814,5398,4937,,
High Heaton,70,57,99,78,0,3420,6330,5620,3823,5706,5791,5483,5361,5100,4803,5595,5201,5107,5163,4301,3508,4530,4476,4459,4198,4121,4034,5387,4813,4510,4579,3514,2938,4109,4323,4351,3469,4065,3626,4325,4507,3885,3896,3627,2597,3930,3354,3171,3185,2928,3042,3728,4651,3519,3357,3391,2182,2885,2887,2694,2799,3018,4245,1434,1647,1456,1449,1284,830,1318,1126,931,1115,1142,880,1084,1321,968,1335,1089,733,1064,1130,1344,1081,944,1265,1421,1405,1106,1217,1390,887,1163,1119,1201,1330,1441,1423,1423,1404,1594,1605,1445,880,1278,1282,1408,1473,1501,1345,1588,1589,1430,1598,1191,810,1306,1128,1247,1271,1539,1275,1556,1749,1419,1411,1414,1190,1767,1641,1327,1326,1387,1219,1834,1995,1432,1878,1463,1040,1522,1324,942,31,11,0,71,16,382,896,194,15,26,3,2,565,705,1091,1214,1458,1280,1355,1625,1347,1493,1532,1827,1727,1628,1597,2092,2406,1855,1645,1742,1282,1874,1420,1836,1802,1731,1686,2077,2469,1725,1753,1651,1431,1784,1785,,
